rating_id,user_id,movie_id,rating,rated_at
1,1,1,4.5,2026-01-05
2,1,2,5.0,2026-01-06
3,1,5,3.5,2026-01-07
4,2,1,4.0,2026-01-08
5,2,3,4.5,2026-01-09
6,2,6,3.0,2026-01-10
7,2,8,5.0,2026-01-11
8,3,2,4.0,2026-01-12
9,3,4,5.0,2026-01-13
10,3,7,3.5,2026-01-14
11,4,1,3.5,2026-01-15
12,4,2,4.5,2026-01-16
13,4,4,4.0,2026-01-17
14,4,6,4.5,2026-01-18
15,4,8,4.0,2026-01-19
16,5,3,4.0,2026-01-20
17,5,5,4.5,2026-01-21
18,5,9,5.0,2026-01-22
19,6,1,5.0,2026-01-23
20,6,4,4.5,2026-01-24
21,6,10,4.0,2026-01-25
22,7,2,3.5,2026-01-26
23,7,4,5.0,2026-01-27
24,7,6,4.0,2026-01-28
25,8,1,4.5,2026-01-29
26,8,7,4.0,2026-01-30
27,8,9,4.5,2026-01-31
28,9,4,4.0,2026-02-01
29,9,10,4.5,2026-02-02
30,10,1,4.0,2026-02-03
31,10,2,4.5,2026-02-04
32,10,5,4.0,2026-02-05
